pos,neg,pos_count,neg_count
positive,neagative,1,0
positive,neagative,1,0
positive,neagative,2,0
positive,neagative,2,1
positive,neagative,3,1
positive,neagative,3,1
positive,neagative,3,1
positive,neagative,3,1
positive,neagative,4,1
positive,neagative,4,1
positive,neagative,5,1
positive,neagative,5,1
positive,neagative,6,1
positive,neagative,6,2
positive,neagative,7,2
positive,neagative,7,2
positive,neagative,7,2
positive,neagative,7,2
positive,neagative,8,2
positive,neagative,8,2
positive,neagative,9,2
positive,neagative,9,2
positive,neagative,10,2
positive,neagative,10,3
positive,neagative,11,3
positive,neagative,11,3
positive,neagative,11,3
positive,neagative,11,3
positive,neagative,12,3
positive,neagative,12,3
positive,neagative,13,3
positive,neagative,13,3
positive,neagative,14,3
positive,neagative,14,4
positive,neagative,15,4
positive,neagative,15,4
positive,neagative,15,4
positive,neagative,15,4
positive,neagative,16,4
positive,neagative,16,4
positive,neagative,17,4
positive,neagative,17,4
positive,neagative,18,4
positive,neagative,18,5
positive,neagative,19,5
positive,neagative,19,5
positive,neagative,19,5
positive,neagative,19,5
positive,neagative,20,5
positive,neagative,20,5
positive,neagative,21,5
positive,neagative,21,5
positive,neagative,22,5
positive,neagative,22,6
positive,neagative,23,6
positive,neagative,23,6
positive,neagative,23,6
positive,neagative,23,6
positive,neagative,24,6
positive,neagative,24,6
positive,neagative,25,6
positive,neagative,25,6
positive,neagative,26,6
positive,neagative,26,7
positive,neagative,27,7
positive,neagative,27,7
positive,neagative,27,7
positive,neagative,27,7
positive,neagative,28,7
positive,neagative,28,7
positive,neagative,29,7
positive,neagative,29,7
positive,neagative,30,7
positive,neagative,30,8
positive,neagative,31,8
positive,neagative,31,8
positive,neagative,31,8
positive,neagative,31,8
positive,neagative,32,8
positive,neagative,32,8
positive,neagative,33,8
positive,neagative,33,8
positive,neagative,34,8
positive,neagative,34,9
positive,neagative,35,9
positive,neagative,35,9
positive,neagative,35,9
positive,neagative,35,9
positive,neagative,36,9
positive,neagative,36,9
positive,neagative,37,9
positive,neagative,37,9
positive,neagative,38,9
positive,neagative,38,10
positive,neagative,39,10
positive,neagative,39,10
positive,neagative,39,10
positive,neagative,39,10
positive,neagative,40,10
positive,neagative,40,10
positive,neagative,41,10
positive,neagative,41,10
positive,neagative,42,10
positive,neagative,42,11
positive,neagative,43,11
positive,neagative,43,11
positive,neagative,43,11
positive,neagative,43,11
positive,neagative,44,11
positive,neagative,44,11
positive,neagative,45,11
positive,neagative,45,11
positive,neagative,46,11
positive,neagative,46,12
positive,neagative,47,12
positive,neagative,47,12
positive,neagative,47,12
positive,neagative,47,12
positive,neagative,48,12
positive,neagative,48,12
positive,neagative,49,12
positive,neagative,49,12
positive,neagative,50,12
positive,neagative,50,13
positive,neagative,51,13
positive,neagative,51,13
positive,neagative,51,13
positive,neagative,51,13
positive,neagative,52,13
positive,neagative,52,13
positive,neagative,53,13
positive,neagative,53,13
positive,neagative,54,13
positive,neagative,54,14
