pos,neg,tweet_count
0,1,1
1,1,2
1,1,3
2,1,4
3,1,5
3,2,6
3,3,7
3,4,8
4,4,9
4,4,10
5,4,11
6,4,12
7,4,13
7,5,14
7,5,15
7,5,16
8,5,17
9,5,18
9,6,19
9,6,20
10,6,21
10,6,22
10,6,23
11,6,24
12,6,25
13,6,26
13,6,27
14,6,28
15,6,29
16,6,30
16,7,31
16,7,32
17,7,33
17,7,34
18,7,35
18,8,36
19,8,37
20,8,38
20,8,39
20,8,40
20,8,41
20,8,42
20,9,43
21,9,44
21,9,45
22,9,46
22,9,47
22,10,48
22,11,49
23,11,50
24,11,51
24,12,52
24,13,53
25,13,54
25,13,55
26,13,56
27,13,57
28,13,58
29,13,59
29,14,60
29,14,61
30,14,62
31,14,63
31,14,64
32,14,65
33,14,66
34,14,67
34,15,68
35,15,69
35,15,70
35,16,71
36,16,72
